,age,job,marital,default,balance
0,40,admin.,married,0,2343.0
1,40,admin.,married,0,45.0
2,41,Others,married,0,1270.0
3,40,Others,married,0,2476.0
4,40,admin.,married,0,184.0
5,42,Others,single,0,0.0
6,40,Others,married,0,830.0
8,37,Others,married,0,1.0
9,28,Others,single,0,5090.0
10,38,admin.,single,0,100.0
11,30,Others,married,0,309.0
12,29,Others,married,0,199.0
13,46,Others,single,0,460.0
14,31,Others,single,0,703.0
16,32,Others,single,0,0.0
17,49,Others,married,0,0.0
18,41,admin.,married,0,0.0
21,43,Others,single,0,2067.0
23,43,Others,married,0,-192.0
24,37,Others,single,0,381.0
25,35,Others,single,0,40.0
26,31,Others,single,0,22.0
27,43,Others,single,0,3.0
28,31,admin.,married,0,307.0
29,28,Others,single,0,759.0
30,32,Others,married,1,-1.0
31,40,Others,married,0,65.0
32,26,Others,single,0,82.0
33,40,Others,married,0,10.0
35,32,Others,single,0,311.0
36,35,Others,married,0,414.0
38,38,Others,married,0,119.0
39,23,Others,single,0,4.0
40,40,Others,married,0,1262.0
41,48,Others,married,0,1949.0
43,36,Others,married,0,1165.0
44,40,Others,married,0,2240.0
46,43,Others,married,0,3285.0
47,40,Others,married,0,3923.0
50,41,Others,single,0,1618.0
52,40,Others,married,0,1521.0
53,41,Others,married,0,2823.0
54,48,admin.,married,0,1405.0
55,40,admin.,married,0,1535.0
56,48,admin.,married,0,1596.0
57,40,admin.,married,0,1542.0
58,40,Others,single,0,3652.0
59,40,Others,married,0,-1.0
60,40,Others,married,0,7180.0
62,41,Others,married,0,1384.0
64,40,Others,married,0,320.0
65,44,Others,married,0,146.0
66,49,Others,married,0,341.0
67,40,Others,married,0,-9.0
68,41,admin.,married,0,-306.0
69,44,Others,married,0,4580.0
70,40,Others,single,0,313.0
71,29,Others,married,0,10576.0
73,41,Others,married,0,2453.0
74,42,Others,single,0,1364.0
75,36,Others,single,0,281.0
76,39,Others,married,0,94.0
77,31,Others,single,0,144.0
78,26,Others,married,0,246.0
79,31,Others,married,0,92.0
80,29,admin.,single,0,163.0
82,33,Others,single,0,-416.0
83,24,Others,single,0,409.0
85,27,Others,single,0,3706.0
86,40,Others,single,0,4393.0
87,30,Others,single,0,863.0
88,34,Others,married,0,695.0
89,37,Others,single,0,792.0
90,41,admin.,single,0,1020.0
91,47,Others,married,0,863.0
92,31,admin.,married,0,97.0
93,31,Others,married,0,754.0
96,30,Others,single,0,880.0
97,41,Others,married,0,501.0
98,36,Others,married,0,4438.0
100,29,Others,single,0,271.0
101,35,Others,married,0,102.0
102,31,Others,married,0,2.0
103,35,Others,married,0,4170.0
104,34,Others,single,0,85.0
105,31,admin.,single,0,431.0
107,36,Others,married,0,408.0
108,35,Others,married,0,4822.0
109,41,Others,married,0,1250.0
110,31,Others,single,0,216.0
111,34,Others,married,0,1207.0
112,32,Others,married,0,791.0
113,36,Others,married,0,849.0
114,30,Others,single,1,239.0
115,37,Others,single,0,1211.0
116,36,Others,married,0,599.0
117,31,Others,single,0,825.0
118,27,Others,married,0,2183.0
119,34,Others,married,0,4499.0
120,30,Others,single,0,1289.0
121,32,Others,single,0,4665.0
122,37,Others,single,0,3326.0
123,32,Others,married,0,783.0
124,33,Others,married,0,0.0
125,35,Others,married,0,994.0
127,30,Others,single,0,239.0
129,45,admin.,married,0,149.0
130,33,Others,married,0,1464.0
132,40,Others,married,0,278.0
133,31,Others,married,0,2910.0
134,30,Others,married,0,541.0
136,34,Others,married,0,-538.0
137,37,Others,married,0,125.0
138,28,Others,single,0,0.0
139,32,admin.,single,0,620.0
141,34,Others,married,0,2287.0
143,28,admin.,single,0,460.0
145,40,Others,married,0,-22.0
146,24,Others,married,0,685.0
147,26,Others,single,0,901.0
148,40,Others,single,0,351.0
149,30,Others,single,0,0.0
150,37,admin.,married,0,274.0
151,30,admin.,single,0,-213.0
152,25,Others,married,0,97.0
154,29,Others,married,0,314.0
155,26,Others,single,0,6840.0
156,26,Others,single,0,668.0
157,27,Others,single,0,54.0
158,25,Others,single,0,1242.0
159,28,Others,married,0,292.0
160,23,Others,single,0,665.0
161,34,Others,single,0,1058.0
162,28,Others,single,0,949.0
163,40,Others,married,0,606.0
164,35,Others,married,0,0.0
165,35,admin.,married,0,404.0
166,40,Others,married,0,249.0
169,40,Others,married,0,589.0
170,27,Others,single,0,12956.0
171,30,admin.,married,0,873.0
173,29,Others,single,0,-20.0
175,30,Others,married,0,486.0
176,44,Others,single,0,1593.0
177,36,Others,single,0,7606.0
178,38,Others,married,0,226.0
179,36,Others,single,0,366.0
181,35,Others,single,0,565.0
183,40,Others,married,0,1082.0
188,32,Others,married,0,-34.0
189,50,Others,married,0,3674.0
190,35,Others,married,0,698.0
191,36,Others,single,0,4136.0
193,46,Others,single,0,2904.0
194,26,Others,single,0,1004.0
195,45,Others,single,0,410.0
197,29,Others,single,0,0.0
198,40,Others,single,0,62.0
199,27,Others,married,0,416.0
200,39,Others,married,0,2763.0
201,36,Others,married,0,2984.0
202,41,Others,married,0,143.0
203,36,Others,married,0,0.0
204,32,Others,married,0,696.0
205,35,Others,married,0,152.0
206,36,Others,single,0,-78.0
207,35,Others,married,0,867.0
208,30,Others,single,0,953.0
209,42,Others,married,0,443.0
210,42,Others,single,1,-1129.0
211,32,Others,married,0,415.0
212,29,Others,single,0,260.0
214,32,Others,single,0,1279.0
215,31,Others,married,0,86.0
216,40,Others,married,1,-754.0
217,43,Others,married,0,0.0
218,27,Others,single,0,178.0
219,37,Others,single,0,278.0
220,23,Others,single,0,425.0
221,25,Others,married,0,168.0
222,26,Others,single,1,-36.0
224,35,admin.,married,0,-87.0
225,32,Others,single,0,6281.0
228,29,Others,single,0,-271.0
229,38,Others,married,0,5839.0
230,23,Others,single,0,492.0
231,27,Others,single,0,99.0
232,27,Others,single,1,-713.0
233,29,Others,single,0,32.0
234,30,Others,married,0,543.0
235,36,Others,married,0,403.0
237,36,Others,married,0,1772.0
239,47,Others,married,0,0.0
240,40,Others,married,0,853.0
241,37,Others,single,0,240.0
242,46,admin.,single,0,849.0
243,43,Others,single,0,318.0
244,27,Others,single,0,703.0
246,40,Others,married,0,104.0
247,47,Others,married,0,1996.0
249,41,Others,married,0,879.0
250,29,Others,married,0,425.0
251,50,Others,married,0,416.0
253,35,Others,married,0,860.0
254,26,Others,single,0,639.0
255,26,admin.,married,0,710.0
256,37,Others,married,0,1508.0
257,30,admin.,single,0,223.0
